Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
"PENERAPAN METODE MATERIAL REQUIREMENT PLANING (MRP) DALAM PERSEDIAAN BAHAN BAKU PRODUKSI SANDAL
(STUDI KASUS UKM. ANNAS, BANGKALAN)",Ach Fais,"Sugeng Purwoko, ST., MT","Samsul Amar, S.T., M.Sc","ini memproduksi beberapa macam sandal antara , lain yaitu, sandal jepit, sandal selop. Produk yang diproduksi di UMKM Annas ini berdasarkan pesanan konsumen, dalam jumlah tertentu. Selain itu UMKM Annas memproduksi secara terus menerus untuk memperluar pasar.
Permasalahan yang terjadi di UMKM Annas ini masih belum adanya perencanaan yang secara khusus dalam penyediaan bahan baku sandal, selama ini dalam mengatur ketersediaan bahan bakunya UMKM Annas ini hanya berdasarkan pada pengalaman saja, sehingga dengan penjualan yang tidak konstan dan tidak adanya pengaturan persediaan bahan baku yang tepat, mengakibatkan sering terjadi kekurangan atau kelebihan bahan baku yang diperlukan. Oleh karena itu perlu adanya suatu sistem yang dapat digunakan untuk menangani masalah yang berkaitan dengan penyediaan bahan baku agar proses produksi berjalan lancar dan tidak terhambat dengan masalah bahan baku.
Salah satu cara untuk mengendalikan persediaan bahan baku adalah dengan metode Material Requirement Planning (MRP), MRP adalah suatu teknik atau set prosedur yang sistematis dalam penentuan kuantitas serta waktu dalam proses pengendalian kebutuhan bahan terhadap komponen-komponen permintaan yang saling bergantungan. (Dependent demand items) (Gaspersz, 1998). Dengan MRP perushaan dapat meningkatkan produktivitas nya dengan cara menjadwalkan kebutuhan akan material atau bahan baku untuk membantu perusahaan dalam mengatasi kebutuhan minimum dari bahan baku dan menjamin tercapainya jadwal produksi akhir, sehingga bahan baku yang dibutuhkan dapat tersedia sesuai dengan yang direncanakan (Nasution, 2008)."
PENERAPAN AUGMENTED REALITY UNTUK SISTEM IN-APP PURCHASE PADA GAME HEROES OF SURABAYA,Ahmad Ubaidillah,"Cucun Very Angkoso, ST., MT.","Ari Kusumaningsih, ST., MT.","Pada perkembangan nya, pemain mobile game bertambah banyak, sebagian dari mereka rela membeli premium item di dalam game yang mereka mainkan. Pemain mobile game khususnya di Indonesia banyak yang merasa kesulitan ketika melakukan transaksi pada sistem in-app purchase dalam game, dikarenakan media pembayaran uang digital memiliki banyak keterbatasan, dan media pembayaran dengan pemotongan pulsa hanya dimiliki oleh beberapa operator seluler saja, sedangkan media pembayaran dengan menggunakan ads tidak disukai oleh sebagian besar pengguna mobile game. 
 Solusi permasalahan tersebut adalah dengan menggabungkan Augmented Reality dengan sistem m-commerce atau bisa juga disebut aCommerce yang mampu menangani transaksi in-app purchase menjadi lebih menarik sehingga pemain mempunyai solusi pembayaran dengan memakai kartu marker untuk pembelian item di dalam game. Aplikasi aCommerce ini mampu mendapatkan 96% kepuasan pengguna dari inovasi penjualan yang menarik, akan tetapi performa kecepatan aplikasi mendapatkan nilai terkecil sebesar 35% dari tingkat kepuasan pengguna, selain itu aplikasi aCommerce masih bergantung dengan cahaya dan jarak ketika mendeteksi marker, marker Vignette, Comic, Glow dan Old Poster mampu mendapatkan nilai 100% keberhasilan pendeteksian pada semua kondisi, marker Black & White, Blur Pixel, serta Old Pastel mempunyai prosentase keberhasilan yang berbeda pada setiap kondisi, sedangkan marker lain tidak terdeteksi karena terlalu berbeda dari marker asli."
"SISTEM PENDATAAN ALUMNI BERBASIS FRAMEWORK CODEIGNITER
(STUDI KASUS : FAKULTAS TEKNIK UNIVERSITAS TRUNOJOYO MADURA)",moh. fahat,"ach. jauhari,st.,m.kOM.","bain khusnul khotimah,st.,m.kOM.","Universitas Trunojoyo Madura merupakan salah satu kampus besar yang berada dipulau Madura, memiliki
beberapa fakultas dan salah satunya Fakultas Teknik. Fakultas teknik memiliki 6 (enam) jurusan yaitu,
Teknik Informatika, Teknik Industri, Manaajemen Informatika, Mekatronika, Multi Media dan Jaringan dan
Teknik Elektro. Dengan banyaknya jurusan yang ada di Teknik akan menimbulkan kesulitan dalam
melakukan pendataan terhadap mahasiswanya yang telah lulus atau alumni mahasiswa teknik karena
disebabkan tidak terdapat sebuah sistem yang mendata alumni fakultas teknik. Untuk itu diperlukan sebuah
sistem yang bisa melakukan pendataan terhadap alumni mahasiswa fakultas teknik yang telah lulus agar tetap
terjalin tali silaturrahmi baik antara pihak fakultas teknik dengan mahasiswa yang telah lulus, maupun
sesama mahasiswa. Oleh karena itu, berangkat dari sebuah permasalahan diatas maka peneliti mencoba
merancang dan membuat sebuah sistem pendataan alumni berbasis framework codeigniter. system pendataan
alumni teknik ini mempunyai beberapa peranan diantaranya mempererat tali silaturrahmi keluarga besar
fakultas teknik Universitas Trunojoyo Madura, berbagi informasi lapangan pekerjaan, informasi yang
berkaitan dengan pendidikan misalnya ingin melanjutkan ke tingkat magister. Setelah sistem dirancang dan
di implementasikan maka diperoleh kesimpulan hasil respon aplikasi sistem informasi pendataan alumni
berbasis web berupa kuisioner kepada Admin dan alumni mendapatkan respon positif dengan presentasi total
respons admin adalah sebesar 83,33% dan alumni adalah sebesar 100%."
APLIKASI GPS WISATA RELIGI MADURA BERBASIS ANDROID,ISMAIL MUTTAQI ALI AKBAR,"Firmansyah Adiputra, S.T.,M.Cs",,"Pulau Madura memiliki potensi dan sumberdaya wisata yang     beragam, salah satunya adalah wisata religi, yaitu berupa tempat ibadah yang memiliki nilai sejarah, petilasan leluhur, serta makam tokoh yang kharismatik serta disegani. Tempat-tempat tersebut memiliki daya tarik tersendiri bagi wisatawan seperti halnya tempat wisata pada umumnya hanya saja tujuan wisatawan mengunjungi tempat-tempat tersebut bukan sekedar berwisata akan tetapi juga beribadah atau berziarah. 
Adapun tujuan dari penulis untuk memenuhi kebutuhan wisatawan serta memudahkan wisatawan untuk mendapatkan informasi tentang  letak wisata yang ada di pulau madura maka di buatlah aplikasi yang mudah di akses melalui smartphone android yg berintergrasi  langsung dengan Google Maps API serta membutuhhkan jaringan internet. 
Dengan berintegrasi dengan Google Maps API aplikasi GPS wisata religi madura berbasis android bisa menampilkan peta lokasi tujuan wisata secara detail dan jelas yang ada di pulau madura.

Kata Kunci : Madura, Religi, Android, Google Maps API."
"APLIKASI PENENTUAN KELAYAKAN PEMBANGUNAN INSTALASI BARUDENGAN METODE SIMPLE ADDITIVE WEIGHTING (SAW) (Studi kasus : KONSUIL Bangkalan)
",Fathul Bahruli,"Achmad Jauhari, S.T.,M.Kom","Sigit Susanto Putro, S.Kom. M.Kom","Konsuil merupakan lembaga non profit yang bergerak dibidang keselamatan instalasi listrik. Proses penentuan kelayakan instalasi ini berdasarkan beberapa kriteria yakni resistansi pembumian, tataletak titik beba, gambar perkawatan, denah bangunan, dan simbol pelengkap. Untuk memudahkan dalam penentian sebuah instalasi itu layak pakai maka di butuhkan sistem pendukung keputusan . metode yang di pakai dalam sistem ini yaitu SAW
Metode SAW (simple additive weighting) merupakan salah satu metode tang dapat di gunakan dalam sistem pendukung keputusan. Konsep dasar metode SAW adalah mencari penjumlaan terbobot dari ranting kinerja pada setiap alternatif pada suatu atribut.
Dari hasil uji coba yang dilakukan, tingkat kecocokan hasil seleksi metode SAW yaitu 90% sehingga sistem ini dapat dijadikan bahan pertimbangan dalam penentuan kelulusan instalasi listrik."
APLIKASI PEMBELAJARAN MATERI UNAS UNTUK PAKET C MENGGUNAKAN ADOBE FLASH CS3,SUPADLI,"WAHYUDI SETIAWAN. S.Kom,. M.Kom,.",,"Pembelajaran sangatlah penting di era globalisi saat ini karena masih banyak masyarakat Indonesia yang tingkat pendidikannya masih dibawah standarisasi yang di tentukan pemerintah. Dan tidak heran ketika ditanyakan pendidikan masih banyak alasan, salah satunya keterbatasan biaya, dan asumsi mereka tentang pendidikan bukan hal segalanya untuk hidup. Dan pada  saat ini banyak diselenggarakan pendidikan umun setara sd/mi, smp/mts, dan sma/ma yang mencakup paket A, paket B dan paket C. Meskipun sudah banyak yang menyediakan  pendidikan alternatif di kalangan masyarakat saat ini masih saja banyak yang kurang berminat. Dalam mengatasi permasalahan yang ada di atas perlu dibentuknya sebuah media pembelajaran agar dapat menarik minat masyarakat disekitar. Penelitian ini meneliti tentang pembuatan aplikasi pembelajaran materi Ujian Nasional untuk paket C dengan memanfaatkan perkembangan teknologi yaitu melalui desktop yaitu menggunakan flash. Hasil uji coba menunjukan bahwa produk cukup menarik dengan memperoleh presentase 36,6% (cukup), 33,4% (baik), 15,4% (sangat baik), 11,3% (kurang), 3,3% (sangat kurang). Produk ini diharapkan mampu untuk membantu siswa pengguna paket C dalam mempersiapkan Ujian Nasional.
 
Kata kunci : Ujian Nasional, Paket C, IPS"
"SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN JURUSAN SEKOLAH MENENGAH ATAS (SMA) BERBASIS WEB MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW)
(Studi Kasus : SMA Negeri  1 Kamal)
",Mi'rajul Mu'minin,"Bain Khusnul Khotimah, S.T., M.Kom","Achmad Jauhari, S.T., M.Kom.","Banyak siswa lulusan SMP yang mengikuti ujian masuk ke SMA. Namun hal yang patut disayangkan adalah kurang matangnya mereka memilih jurusan yang ada di Sekolah Menengah Atas yang dituju. Situasi semacam ini berdampak pada biaya pendidikan yang terlanjur dikeluarkan, baik pada orang tua siswa maupun pemerintah yang mensubsidi sekolah menjadi tidak bermanfaat karena siswa tersebut tidak memiliki kemampuan yang memadai untuk jurusan yang sudah dipilihnya. Berdasarkan informasi yang diperoleh dari tim panitia penjurusan, jumlah jurusan yang ada di SMA Negeri 1 Kamal terdiri dari dua jurusan yaitu jurusan Ilmu Pengetahuan Alam (IPA) dan Ilmu Pengetahuan Sosial (IPS). Penjurusan didasarkan pada pilihan siswa saat melakukan pendaftaran dengan mencatumkan minat untuk jurusan 1 dan jurusan 2 selain itu penjurusan ditentukan oleh nilai yang disyaratkan pada masing-masing jurusan. Sistem pendukung keputusan pemilihan jurusan dengan metode Simple Additive Weighting (SAW) ini diharapkan dapat membantu tim panitia penjurusan siswa baru dalam menentukan jurusan bagi tiap siswa. sehingga dapat dengan mudah menentukan jurusan yang cocok untuk siswa-siswi menggunkan nilai yang sudah ada dan dapat diketahui perangkingan dari setiap lokasi, kemudian data akan diolah untuk menentukan jurusan yang tepat untuk masing-masing siswa.
Kata Kunci : Jurusan, Sistem Pendukkung Keputusan, Simple Additive Weighting"
Sistem Pendukung Keputusan Penentuan Penerima Kartu Indonesia Pintar dengan Metode Naive Bayes (Studi Kasus : SMP Negeri 1 Torjun),Gerry Kuswanto,"Achmad Jauhari,ST.,M.Kom","Bain Kusnul Khotimah, ST., M.Kom","Kartu Indonesia Pintar adalah salah satu program pemerintah dalam mengatasi masalah pendidikan di Indonesia, khusunya bagi keluarga miskin atau rentan miskin yang tidak dapat menyekolahkan anak-anak mereka sehingga dapat menikmati dan mengenyam kembali pendidikan secara gratis. Data yang digunakan dalam pembagian Kartu Indonesia Pintar (KIP) menggunakan data Bantuan Siswa Miskin (BSM).SMP Negeri 1 Torjunmerupakan salah satu contoh sekolah yang telah menjalalankan program BSM tersebut.Namun dalam pengolahan data BSM di sekolah tersebut dilakakukan secara manual sehingga banyak penerima BSM tersebut tidak tepat sasaran.Oleh karena itupeneliti mencoba untuk membangun sebuah sistem pendukung keputusan penerima Kartu Indonesia Pintar (KIP) dengan menggunakan metode NaÃ¯ve Bayes.Pada penelitian ini metode yang digunakan adalahNaÃ¯ve Bayes, karena merupakan metode sederhana yang mudah diimplementasikan, mempunyai waktu komputasi yang cepat serta tingkat akurasinya tinggi.Dalam penentuan Penentuan Penerima Kartu Indonesia Pintar inidigunakan  metode pengolahan data berbentuk Kategori. Dan data yang digunakan  sebanyak 100  untuk data  training dan data testing  sebanayak 100 data siswa Hasil pengujian dapat   disimpulkan bahwa perhitungan presentase tingkat akurasi pada model pengolahan data mencapai nilai presentase  akurasi sebesar 95% dan error rate yang didapat sebesar 5%.
Kata Kunci: Bantuan Siswa Miskin (BSM), Kartu Indonesia Pintar (KIP), NaÃ¯ve Bayes, SMP Negeri 1 Torjun, Sistem PendukungKeputusan (SPK)."
PENGEMBANGAN KOMODITAS PRODUK GULA BATOK TEBU DENGAN PENDEKATAN QUALITY FUNCTION DEPLOYMENT,Ahmad Faishal Agung Wibowo,"Ari Basuki, S.T., M.T","Ernaning Widiaswanti, S.Si.,M.T","Gula batok merupakan nama lain dari gula merah yang dikenal didaerah Kabupaten Kediri dan sekitarnya. Dinamakan gula batok karena proses pencetakan. Awalnya gula ini berbahan dasar kelapa, karena populasi pohon kelapa yang semakin sedikit maka pengusaha berinisiatif untuk mengganti bahan baku menggunakan tebu. Gula batok dapat ditingkatkan kualitas dengan menggunakan metode quality function deployment. Alat yang digunakanhouse of quality guna menganalisis hubungan kebutuhan konsumen dengan aspek teknis. Penyelesaian house of quality dapat dilakukan dengan melakukan pembuatan kuesioner untuk mendapatkan atribut keinginan konsumen dan melakukan wawancara dengan pemilik usaha untuk mendapatkan aspek teknis. Hubungan atribut kebutuhan dengan aspek teknis akan menghasilkan bobot pembenahan kualitas.Pembenahan kualitas dapat dilakukan yakni terdiri dari atribut keinginan konsumen yakni warana, kebersihan, ukuran dan pengemasan. Didukung dengan aspek teknis waktu pemasakan tebu dengan pemotongan tebu (ambil dari kebun petani) kurang dari dua hari, proses pemasakan gulali sampai bewarna kecoklatan dan penyaringan tiga tahap pada saat proses produksi. 

Kata Kuci : Gula batok, quality function deployment, house of quality, atribut konsumen dan aspek teknis"
"SISTEM INFORMASI PENERIMAAN DAN PENYELEKSIAN SISWA BARU JALUR PMDK PRESTASI BERBASIS WEB DENGAN METODE SIMPLE ADDITIVE WEIGHTING (SAW)
(STUDI KASUS: SMPN 01 Kamal)
",iradatul izzaty,"Bain Khusnul Khotimah, ST, M.Kom",Rika Yunitarini.ST.MT,"Penerimaan siswa baru adalah salah satu proses yang dilakukan pihak sekolah untuk menjaring calon siswa baru. Proses penerimaan siswa baru memiliki berbagai jalur pendaftaran yaitu PMDK Prestasi (Akademik dan non-Akademik) dan jalur nilai Ujian Nasional (UN). Sistem Informasi berbasis web ini akan memberikan kemudahan kepada panitia penerimaan siswa baru yaitu berupa pengolahan data serta nilai yang memenuhi kriteria untuk dapat masuk ke SMP Negeri 1 Kamal. Dengan efisiensi waktu yang terjamin maka akan meningkatkan mutu pada SMP Negeri 1 Kamal. Untuk calon siswa baru yang mendaftar melalui jalur PMDK Prestasi baik Akademik maupun non-Akademik, maka perlu adanya proses seleksi. Metodologi yang digunakan dalam pengembangan sistem informasi ini menggunakan metode Simple Additive Weighting (SAW). Metode ini sangat tepat digunakan untuk penerimaan dan penyeleksian siswa baru berdasarkan kriteria- kriteria yang telah ditentukan dengan menggunakan metode SAW
Kata kunci: Sistem Informasi, Penerimaan siswa baru, Penyeleksian, Metode Simple Additive Weighting (SAW"
SISTEM PENJURUSAN DI SMAN 1 KAMAL DENGAN MENGGUNAKAN METODE TOPSIS,Sri Merdeka,"Wahyudi Setiawan, S.Kom., M.Kom",,"Semakin pesatnya perkembangan teknologi kini telah memberikan dampak yang positif bagi dunia pendidikan. Pemilihan jurusan yang dulunya masih menggunakan metode manual, sekarang sudah berkembang dengan digunakannya SPK (Sistem Pendukung Keputusan) demi meningkatkan kualitas pendidikan dan efisiensi waktu. SMAN 1 KAMAL adalah salah satu lembaga pendidikan yang mempunyai keinginan untuk mengubah dari sistem manual ke sistem teknologi. Penjurusan diperkenalkan sebagai upaya untuk lebih mengarahkan siswa berdasarkan minat dan kemampuan akademiknya. Siswa yang mempunyai kemampuan sains dan ilmu eksak yang baik, biasanya akan memilih jurusan MIA, dan yang memiliki minat pada sosial dan ekonomi akan memilih jurusan IIS. Sistem pendukung keputusan pemilihan jurusan SMA dengan metode Topsis ini menjadi salah satu cara bagi para siswa dan siswi ataupun bahkan bagi para dewan guru untuk memilih jurusan yang sesuai dengan minat dan bakat siswa. Dari total keseluruhan 161 siswa, 36 siswa masuk MIA dan 125 masuk IIS, berdasarkan hasil dari perhitungan aplikasi ini. Jika dibandingkan dengan data yang ada disekolah perbandingan kesamaan datanya adalah 49,1 %."
"SISTEM PENDUKUNG KEPUTUSAN UNTUK MENILAI KELAYAKAN PENGAJUAN KREDIT DENGAN 
METODE NAIVE BAYES",Mohammad Purnama Sidik,"Bain Khusnul Khotimah, S.T., M.Kom","Achmad Jauhari. S.T., M.Kom","Semakin banyaknya calon nasabah yang mengajukan kredit dengan kondisi ekonomi yang berbeda-beda, menuntut kejelian pihak bank sebagai pemberi kredit dalam pengambilan keputusan pemberian kredit. Oleh karena itu, dalam penentuan kelayakan kredit kepada nasabah, setiap Bank, dalam hal ini Bank Tabungan Negara (BTN) cabangBangkalanperlu memperhatikan beberapa prinsip faktor-faktor yang ada. Adapun faktor-faktor yang menjadi dasar pengambilan keputusan oleh pihak bank dalam menentukan calon penerima kredit dari pekerjaan, penghasilan per bulan, jumlah tanggungan, status ttempat tinggal. 
Dengan permasalahan tersebut maka, perlu adanya solusi pemecahan masalah yang ada dengan membuat suatu sistem pendukung keputusan yang bertujuan membantu proses pengambilan keputusan untuk meningkatkan kemampuan dalam memutuskan masalah tersebut. Metode yang digunakan dalam sistem pendukung keputusan ini adalah naÃ¯ve bayes.
NaÃ¯ve bayes memegangasumsiakan hubungan antarfitur atau atributnya yang independen sehingga menjadikannya sederhana dan efisien. Penerapan Naive bayes ini diharapkan dapat menilai akurasi dalam menentukan nilai kelayakan kredit. Penerapan metode naive bayes kedalam sistem pendukung keputusan pengajuan kredit baru di Bank BTN memperoleh akurasi 90% dan error sekitar 10%.Dengan sistem ini metodenaive bayes mampu menentukan memberikan keputusan kepada pemohon dengan akurasi 90%"
